1	Abidji	1	
2	Agarabi	1	
3	Casiguran Agta	0	 many loanwords
4	Aguacateco	0	lighBu, O < ES
5	Amarakaeri	1	
6	Ampeeli	1	
7	Amuzgo	0	 non-focalR, Br < ES
8	Angaatiha	1	
9	Apinaye	1	
10	Arabela	1	
11	Bahinemo	1	
12	Bauzi	1	
13	Berik	1	 doubts about reliability of speaker 13
14	Bete	1	
15	Bhili	1	
16	Buglere	1	
17	Cakchiquel	0	
18	Ucayali Campa	1	
19	Camsa	0	
20	Candoshi	1	
21	Cavineňa	1	
22	Cayapa	1	 -
23	Chácobo	1	 several randomly responding speakers
24	Chavacano	0	
25	Chayahuita	1	
26	Chinanteco	0	 lightR, Br < ES
27	Chiquitano	0	
28	Chumburu	0	 Bu < EN
29	Cofán	1	
30	Colorado	1	
31	Eastern Cree	0	" most chips unnamed; outliers on the 50% similarity level"
32	Culina	1	
33	Didinga	0	 a few outliers - possible experimental error
34	Djuka	0	
35	Dyimini	1	
36	Ejagam	1	
37	Ese Ejja	1	
38	Carib	0	
39	Guahibo	1	
40	Guambiano	1	
41	Guarijio	1	
42	Ngäbere	0	 'blure' for Bu - undetermined whether accidental similarity, or < EN
43	Gunu	0	 speaker 12 color-deficient/innatentive, Bu probably <
44	Halbi	0	
45	Huasteco	0	 Bu, Purple < ES
46	Huave	0	 Bu, Purple, Pink, (Orange) < ES
47	Iduna	1	
48	Ifugao	1	
49	Sepik Iwam	1	 8/25 speakers appear to have responded randomly
50	Jicaque	1	
51	Kalam	1	
52	Kamano-Kafe	1	
53	Karaja	0	
54	Kemtuik	1	
55	Kokoni	1	
56	Konkomba	1	
57	Kriol	0	
58	Kuku-Yalanji	1	
59	Long-haired Kuna	1	
60	Kwerba	1	
61	Lele	1	 5/15 unfinished
62	Mampruli	1	
63	Maring	1	
64	Martu Wangka	1	
65	Mawchi	1	
66	Mayoruna	1	
67	Mazahua	0	
68	Mazateco	0	
69	Menye	1	
70	Micmac	0	 borrowings with 3-7 speakers each, but 5 different terms
71	Mikasuki	1	
72	Mixteco	0	 
73	Mundu	1	
74	Múra Piraha	1	
75	Murle	1	
76	Murinbata	1	
77	Nafaanra	1	
78	Náhuatl	0	 Purple, Br < ES
79	Ocaina	1	
80	Papago	1	
81	Patep	1	
82	Paya	1	
83	Podopa	1	
84	Saramaccan	0	
85	Seri	1	
86	Shipibo	1	
87	Sirionó	1	
88	Slave	1	
89	Sursurunga	1	
90	Tabla	1	
91	Tacana	1	
92	Central Tarahumara	0	" W 'rosá' maybe < ES; also Br, Orange < ES"
93	W. Tarahumara	0	 W 'rosá' maybe < ES 
94	Tboli	1	
95	Teribe	1	
96	Ticuna	1	
97	Tifal	1	
98	Tlapaneco	1	
99	Tucano	1	
100	Vagla	1	
101	Vasavi	1	
102	Waorani	1	
103	Walpiri	1	
104	Wobe	1	
105	Yacouba	1	
106	Yakan	1	
107	Yaminahua	1	
108	Yucuna	1	
109	Yupik	0	 Y < EN
110	Zapoteco	1	
